Text,Label
"intersection -",Key
"przecięcie",Value
"invoice -",Key
"faktura",Value
"network facilities -",Key
"udogodnienia sieciowe",Value
"object linking and embedding (OLE) -",Key
"mechanizm łączenia i osadzania obiektów",Value
"percentages -",Key
"procenty",Value
"piece of information -",Key
"informacja",Value
"purchases -",Key
"zakupy",Value
"query -",Key
"zapytanie",Value
"record-keeping system -",Key
"system przechowywania danych",Value
"records -",Key
"dokumentacja",Value
"relational -",Key
"relacyjny",Value
"relevant -",Key
"odpowiedni",Value
"rows -",Key
"wiersze",Value
"security devices -",Key
"urządzenia zabezpieczające",Value
"suite -",Key
"zestaw",Value
"tutor -",Key
"nauczyciel",Value
"updated -",Key
"aktualizacja",Value
"value added tax (VAT) -",Key
"podatek od towarów i usług",Value
"variety -",Key
"różnorodność",Value
"vendor -",Key
"sprzedawca",Value
"worksheet/sheet -",Key
"arkusz",Value
